"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@mademetoxic Reckon it could be a #ManchesterDerby @ChampionsLeague #ChampionsLeague #UCL 1/4?","FALSE","0","mademetoxic","2019-03-13 22:57:49","FALSE","1105946327853289474","1105966220757659648","755844500287688704","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","TanvirHamid1982","0","FALSE","FALSE",NA,NA
"What a form he is in... what a header !! Sadio's leap, flight and the airtime has been superb off late. He is defin… https://t.co/EPzzAGWK20","FALSE","0",NA,"2019-03-13 22:57:31","TRUE",NA,"1105966145427959808",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","Rajivd","0","FALSE","FALSE",NA,NA
"Great bday present @LFC   .... started off the day with an ep seizure and after that the day could only get better.… https://t.co/5QmznmF9aL","FALSE","2","CarriganNigel","2019-03-13 22:57:28","TRUE","1105936337503510533","1105966131364458496","895979606","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","CarriganNigel","0","FALSE","FALSE",NA,NA
"#ChampionsLeague Semifinals: #Juventus 🇮🇹 - #ManchesterCity 🇬🇧 and #Liverpool 🇬🇧 - #Porto 🇵🇹 ⏩⏩","FALSE","0",NA,"2019-03-13 22:57:24","FALSE",NA,"1105966116671758336",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","domy_beruang","0","FALSE","FALSE",NA,NA
"Each one team from 🇳🇱 the Netherlands 🇵🇹 Portugal 🇪🇸 Spain and 🇮🇹 Italy with 4 🏴󠁧󠁢󠁥󠁮󠁧󠁿 English teams are in the UCL… https://t.co/lrPFkJjXBa","FALSE","1",NA,"2019-03-13 22:57:23","TRUE",NA,"1105966113211351040",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","thepitchfoot","0","FALSE","FALSE",NA,NA
"Wrong @BTsport. Evaluate the context and NOT numbers. #LFC #ChampionsLeague

Tuesday:
⚽️Ronaldo
⚽️Ronaldo
⚽️Ronaldo… https://t.co/pS0u608BAg","FALSE","0",NA,"2019-03-13 22:57:22","TRUE",NA,"1105966106731257863",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","Sumwitter","0","FALSE","FALSE",NA,NA
"Pep Guardiola seems to think that Cristiano Ronaldo is Man City's only obstacle to the Champions League trophy. 😂⚫️… https://t.co/5BWKD1xBBO","FALSE","0",NA,"2019-03-13 22:57:06","TRUE",NA,"1105966039391784960",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","calciofanblogs1","0","FALSE","FALSE",NA,NA
"#LFC and #Barca advance! Here are today’s #ChampionsLeague results! #SonicReport #SonicFinalCall https://t.co/zhP3u2rekM","FALSE","0",NA,"2019-03-13 22:56:53","FALSE",NA,"1105965984727425024",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","thesonicreport","0","FALSE","FALSE",NA,NA
"@_MrAhmeed Do you know Lyon were unbeaten in the #UCL this season until tonight? 
That they won Mac City?

So becau… https://t.co/SsKg8ufMDN","FALSE","1","_MrAhmeed","2019-03-13 22:56:27","TRUE","1105955408378777601","1105965877793558528","925212548487454720","<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","kay_kenshin","2","FALSE","FALSE",NA,NA
"What an incredible game to be at tonight #BarcaOL #ChampionsLeague #NouCamp #GameNight https://t.co/ZHFyl9PZU7","FALSE","1",NA,"2019-03-13 22:56:05","FALSE",NA,"1105965786328428550",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","maughankx","0","FALSE","FALSE",NA,NA
"What are the odds that the 4 @premierleague teams are drawn against each other ? 🙈🙈🙈
.
.
.
.
.
#UCL… https://t.co/efWEwL9Cci","FALSE","1",NA,"2019-03-13 22:56:03","TRUE",NA,"1105965777130266624",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","tactitian_m","1","FALSE","FALSE",NA,NA
"What makes United fans think they deserve Porto. If your team is that strong, then Barcelona should be the team. Simple. #ChampionsLeague","FALSE","4",NA,"2019-03-13 22:55:21","FALSE",NA,"1105965599325327363",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","dj_pancef","0","FALSE","FALSE",NA,NA
"#ChampionsLeague Champions League quarter-final draw: potential head-to-heads https://t.co/7GdGrHLSjx","FALSE","0",NA,"2019-03-13 22:55:20","FALSE",NA,"1105965595655397376",NA,"<a href=\https://ifttt.com\ rel=\nofollow\>IFTTT</a>","Footy_Updatez","0","FALSE","FALSE",NA,NA
"2 SHOTS ON TARGET FOR bayern IN 2 MATCHES!!
#LFC #BAYLIV #UCL #Liverpool #championsleague https://t.co/huMkAePIlA","FALSE","0",NA,"2019-03-13 22:55:20","FALSE",NA,"1105965595223359489",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","SAMLFC97","0","FALSE","FALSE",NA,NA
"City will remain the only english side left #ChampionsLeague","FALSE","0",NA,"2019-03-13 22:54:46","FALSE",NA,"1105965454030458883",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Web App</a>","Caplin98821830","0","FALSE","FALSE",NA,NA
"Liverpool had a better day than Instagram and Facebook combined #instagram #Facebook #instagramdown #FacebookDown… https://t.co/VRoao8zytR","FALSE","1",NA,"2019-03-13 22:54:28","TRUE",NA,"1105965377274695681",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Web App</a>","LeandlRos","0","FALSE","FALSE",NA,NA
"Thank You! 
With out You Two We Wouldnt Have Come This Far ...
Keep Going and make us Dream @VirgilvDijk And… https://t.co/8XooUG4E96","FALSE","1",NA,"2019-03-13 22:54:16","TRUE",NA,"1105965326615920641",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Web App</a>","K_taq7","0","FALSE","FALSE",NA,NA
"@paddytheloaf @talkSPORT keeper wasnt shite. he was taken out worse than the main man. they havent learned from the… https://t.co/RKXKdvOWXa","FALSE","0","paddytheloaf","2019-03-13 22:54:16","TRUE","1105953395746267136","1105965325928022016","1107376309","<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","pibaron","0","FALSE","FALSE",NA,NA
"Sir @GaryLineker can you provoke any Germany team tonight as you did last after #NoDealBrexit votes?… https://t.co/4A0J9jZVO7","FALSE","0",NA,"2019-03-13 22:54:12","TRUE",NA,"1105965310304243712",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","phemmynice","0","FALSE","FALSE",NA,NA
"I predict that in the #ChampionsLeague quarter final draw, Tottenham will get... one of seven possible teams drawn… https://t.co/rDpG50ocub","FALSE","2",NA,"2019-03-13 22:54:10","TRUE",NA,"1105965303169802250",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","shaunetobias","1","FALSE","FALSE",NA,NA
"Doesn't matter who they are, you have to love the fact that four English clubs are in the #ChampionsLeague quarter-finals.","FALSE","5",NA,"2019-03-13 22:54:08","FALSE",NA,"1105965291803213825",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Web App</a>","_FootballTheory","1","FALSE","FALSE",NA,NA
"Bayern Munich 1-3 Liverpool: Champions League player ratings | Andy Hunter: Virgil van Dijk was an absolute rock ag… https://t.co/JpbnMAQY2b","FALSE","1",NA,"2019-03-13 22:54:08","TRUE",NA,"1105965291580710912",NA,"<a href=\https://dlvrit.com/\ rel=\nofollow\>dlvr.it</a>","JCPGATA","1","FALSE","FALSE",NA,NA
"Congratulations on Mrs Chioma Obi🤗 What a Man can do a Woman can do it better.. You can check the coupon for verifi… https://t.co/P0XPP3GjN3","FALSE","0",NA,"2019-03-13 22:53:35","TRUE",NA,"1105965155161198594",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","Bet9jaBet","0","FALSE","FALSE",NA,NA
"This year's @ChampionsLeague last 16 marked the first time since 2008-9 where 3 teams from one league defeated 3 te… https://t.co/oYYVl6bLoM","FALSE","2",NA,"2019-03-13 22:53:34","TRUE",NA,"1105965152933986304",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","Harvard_Sports","2","FALSE","FALSE",NA,NA
"Lionel Messi was brilliant for Barcelona yet again, while Liverpool made a statement at Bayern Munich.… https://t.co/Qoz36TEjcq","FALSE","0",NA,"2019-03-13 22:53:30","TRUE",NA,"1105965134457913344",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","FCYahoo","0","FALSE","FALSE",NA,NA
"A true leader, a fearless legend. We are so blessed to witness his immense talent and inexplicable mastery. We are… https://t.co/ZAQMY70Sfk","FALSE","2",NA,"2019-03-13 22:53:02","TRUE",NA,"1105965018774831104",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","PriyankaThakur_","0","FALSE","FALSE",NA,NA
"@EPLBible After Buffon leaving, watch Juventus win the #ChampionsLeague","FALSE","0","EPLBible","2019-03-13 22:52:50","FALSE","1105952084703277057","1105964968292302848","595343731","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","strokemygnome","0","FALSE","FALSE",NA,NA
"@FCBarcelona vs @SpursOfficial
 @juventusfcen vs @LFC 
@ManUtd vs @ManCity 
@AFCAjax  vs @FCPorto 

This would be t… https://t.co/ReBiTcMu7Y","FALSE","0","FCBarcelona","2019-03-13 22:52:48","TRUE",NA,"1105964959673008129","96951800","<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","HonestVendetta","1","FALSE","FALSE",NA,NA
"Good games lads @LFC ❤️ YNWA
#championsleague 
#quaterfinal
#ynwa","FALSE","0",NA,"2019-03-13 22:52:36","FALSE",NA,"1105964907801931777",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","AfifMahin","0","FALSE","FALSE",NA,NA
"I kinda wanna see Barcelona and Man City go head to head in the next round of the champions league. #ChampionsLeague #whatagamethatcouldbe","FALSE","0",NA,"2019-03-13 22:52:10","FALSE",NA,"1105964798804717569",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","connor_rankmore","0","FALSE","FALSE",NA,NA
"English Teams Beat Germans 17-3 On Aggregate In #ChampionsLeague Last 16 https://t.co/GeW2ufkFE5 https://t.co/nHdIstp6dg","FALSE","0",NA,"2019-03-13 22:51:59","FALSE",NA,"1105964751849488385",NA,"<a href=\http://leadstories.com\ rel=\nofollow\>Lead Stories Feed Publisher</a>","Trendolizer","0","FALSE","FALSE",NA,NA
"And then there were 8.

And we are one of them again!
#ChampionsLeague  
#LFC 
#YNWA https://t.co/AUbGaQkCeS","FALSE","2",NA,"2019-03-13 22:51:45","FALSE",NA,"1105964693707853824",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","WillCromack","0","FALSE","FALSE",NA,NA
"Congratulations on Mrs Chioma Obi🤗 What a Man can do a Woman can do it better.. You can check the coupon for verifi… https://t.co/u53yfDtJVx","FALSE","0",NA,"2019-03-13 22:51:41","TRUE",NA,"1105964676616212480",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","Bet9jaBet","0","FALSE","FALSE",NA,NA
"The GOAT!! LIONEL MESSI!!🐐🐐🐐🐐🔥🔥🔥⚡⚡⚡
#UCL 
#Messi 
#LionelMessi
#goat
#ChampionsLeague 
#FCBarcelona https://t.co/0eNlcJF4ST","FALSE","0",NA,"2019-03-13 22:51:22","FALSE",NA,"1105964597524267008",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","leseho_r","0","FALSE","FALSE",NA,NA
"#ChampionsLeague Quarter-Finals: #Juventus 🇮🇹 - #Ajax 🇳🇱, #ManchesterUnited 🇬🇧 - #Liverpool 🇬🇧, #Barcelona 🇪🇸 -… https://t.co/ZhhAtndWVz","FALSE","0",NA,"2019-03-13 22:51:18","TRUE",NA,"1105964580533137410",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","domy_beruang","0","FALSE","FALSE",NA,NA
"🔝 TOP10 mejores SUB23 - VUELTA 1/8 de la #ChampionsLeague

1⃣🇩🇪SANÉ -Man City
2⃣🇺🇦ZINCHENKO -Man City
3⃣🇪🇸ASENSIO -… https://t.co/optjfw3VF0","FALSE","2","Scoutland_","2019-03-13 22:51:13","TRUE","1098352748993617923","1105964559423164416","993549216483086336","<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","Scoutland_","0","FALSE","FALSE",NA,NA
"That feeling of reaching the #ChampionsLeague's quarter final after an away win! 😍

#BAYLIV 1⃣ - 3⃣ https://t.co/Ib12X1xmbt","FALSE","2",NA,"2019-03-13 22:51:02","FALSE",NA,"1105964513709436929",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","Sport360","0","FALSE","FALSE",NA,NA
"Sadio #Mane scored twice as #Liverpool beat #BayernMunich 3-1 in the second leg of their #ChampionsLeague last-16 t… https://t.co/EvQuhModD4","FALSE","3",NA,"2019-03-13 22:51:01","TRUE",NA,"1105964507887738881",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","FlashScorescouk","0","FALSE","FALSE",NA,NA
"#JürgenKlopp im Interview. #fcblfc #fcliverpool #fcbayern #championsleague

https://t.co/gCrKLz0TyX","FALSE","1",NA,"2019-03-13 22:51:01","FALSE",NA,"1105964507615166465",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","LFCNewsDe","0","FALSE","FALSE",NA,NA
"Messi: “What Cristiano and Juventus did impressed me, I thought Atletico was stronger. Cristiano had a magical nigh… https://t.co/wlWEclBpbP","FALSE","3",NA,"2019-03-13 22:50:58","TRUE",NA,"1105964496839860225",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","pritomahmed15","1","FALSE","FALSE",NA,NA
"3-1 to Liverpool at the Allianz means that it ends 3-0 to England in the English vs German clubs in this round of t… https://t.co/8X0b9Cksbo","FALSE","0",NA,"2019-03-13 22:50:45","TRUE",NA,"1105964442448220165",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","buli_diaries","0","FALSE","FALSE",NA,NA
"Lionel Messi helps Barcelona through despite brief Lyon scare
#ChampionsLeague #Spain #Laliga… https://t.co/kdiqZdexU9","FALSE","0",NA,"2019-03-13 22:50:40","TRUE",NA,"1105964422336520195",NA,"<a href=\http://publicize.wp.com/\ rel=\nofollow\>WordPress.com</a>","kisure_sports","0","FALSE","FALSE",NA,NA
"The Great WALL OF LIVERPOOL 💪
#FCBLFC 
#YNWA 
#ChampionsLeague https://t.co/Z7Df0CyukL","FALSE","4",NA,"2019-03-13 22:50:40","FALSE",NA,"1105964420214206467",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","Mrhappy1998","1","FALSE","FALSE",NA,NA
"If only I could have things my way: 

Ajax vs Tottenham
Porto vs Man Utd
Juventus vs Man City 
Barcelona vs Liverpo… https://t.co/EDCs4chJSZ","FALSE","6",NA,"2019-03-13 22:50:36","TRUE",NA,"1105964404452016134",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","my_shericoco","2","FALSE","FALSE",NA,NA
"Six massive clubs in the #ChampionsLeague quarter-…,FALSE,0,NA,2019-03-13 22:43:37,FALSE,NA,1105962647495888898,NA,<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>,JohnMoralesNBC6,172,TRUE,FALSE,NA,NA
From the German news just now: \FC Bayern Munich seems to be much more efficient than British the Parliament with i… https://t.co/vZ0qnDre6W","FALSE","5",NA,"2019-03-13 22:43:36","TRUE",NA,"1105962640759771147",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","frankendodo","0","FALSE","FALSE",NA,NA
"Who are you backing?
#UCL #ChampionsLeague https://t.co/gtesP6N74b","FALSE","0",NA,"2019-03-13 22:43:26","FALSE",NA,"1105962601765318656",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","DG95Official","0","FALSE","FALSE",NA,NA
"@AuntyAdah \Going out and coming in safe is underrated\ - Aunty Adah

#instagramisdown
#wednesdaythoughts… https://t.co/W82sfhU2M1","FALSE","0","AuntyAdah","2019-03-13 22:43:20","TRUE",NA,"1105962576188456960","847285262","<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","FIRSTCLASSAMEBO","0","FALSE","FALSE",NA,NA
"4 English teams in the last 8 and one of them is the great Manchester United. What a time to be alive. #ChampionsLeague","FALSE","1",NA,"2019-03-13 22:43:16","FALSE",NA,"1105962558794674176",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","DanDempsey139","0","FALSE","FALSE",NA,NA
"Unpopular Opinion

But German Football is on the Same level as Scottish Football

#BAYLIV #ChampionsLeague #UCL","FALSE","3",NA,"2019-03-13 22:43:14","FALSE",NA,"1105962550477254657",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","AussieRyan30","0","FALSE","FALSE",NA,NA
"What’s the bet that the 4 English clubs left in the @ChampionsLeague get drawn against each other in the next round… https://t.co/gkOwEnK4Jh","FALSE","0",NA,"2019-03-13 22:43:04","TRUE",NA,"1105962506672132098",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","paulcooper02","0","FALSE","FALSE",NA,NA
